Time	Price	Holding	Value	Funds	Shares	PeriodRate	ExpectedGain	TotalInput	Target	Diff	EndValue	Realized	TotalValue	Liquid	Profit
2020-05-12T22:10:24.210Z	8785.05	0	0	10	0.00113263	0	0	10	10	-10	10	0	10	0	0.00%
2020-05-12T22:10:45.594Z	8785.07	0.00113263	9.95	10	0.00113263	9e-8	0	20	20	-10.05	19.95	0	19.95	-0.05	-0.25%
2020-05-12T22:13:28.366Z	8785.05	0.00226526	19.9	10	0.00113263	7.2e-7	0	30	30	-10.1	29.9	0	29.9	-0.1	-0.33%
2020-05-12T22:20:10.238Z	8785.07	0.00339789	29.85	10	0.00113263	0.00000178	0.0001	40	40	-10.15	39.85	0	39.85	-0.15	-0.37%
2020-05-12T22:21:00.229Z	8785.07	0.00453052	39.8	10	0.00113263	2.2e-7	0	50	50	-10.2	49.8	0	49.8	-0.2	-0.40%
2020-05-12T22:21:11.577Z	8785.07	0.00566315	49.75	10	0.00113263	5e-8	0	60	60	-10.25	59.75	0	59.75	-0.25	-0.41%
2020-05-12T22:22:00.225Z	8785.07	0.00679578	59.7	10	0.00113263	2.2e-7	0	70	70	-10.3	69.7	0	69.7	-0.3	-0.43%
